puzzle_type,puzzle_idx,extraction_accuracy,correction_type,num_errors_corrected,final_success,extract_time,solve_time
sudoku_9x9,95,1.0,none,0,True,0.08712196350097656,0.41145992279052734
sudoku_9x9,96,1.0,none,0,True,0.0673527717590332,0.25519418716430664
sudoku_9x9,97,0.9876543209876543,single,1,True,0.07666873931884766,0.33161306381225586
sudoku_9x9,98,1.0,none,0,True,0.10316586494445801,0.23143482208251953
sudoku_9x9,99,1.0,none,0,True,0.07815718650817871,0.28801894187927246
hexasudoku_ag,0,1.0,none,0,True,0.3871269226074219,0.5430278778076172
hexasudoku_ag,1,1.0,none,0,True,0.30754899978637695,0.4081451892852783
hexasudoku_ag,2,0.99609375,single,1,True,0.3634631633758545,0.9059419631958008
hexasudoku_ag,3,0.9921875,uncorrectable,0,False,0.3943932056427002,0.7479689121246338
hexasudoku_ag,4,1.0,none,0,True,0.3187980651855469,0.7468371391296387
hexasudoku_ag,5,0.99609375,single,1,True,0.3355529308319092,1.1747710704803467
hexasudoku_ag,6,1.0,none,0,True,0.32979893684387207,1.3509769439697266
hexasudoku_ag,7,0.99609375,single,1,True,0.37892889976501465,0.9391467571258545
hexasudoku_ag,8,1.0,none,0,True,0.32977890968322754,0.4858381748199463
hexasudoku_ag,9,0.99609375,single,1,True,0.35338282585144043,17.580477237701416
hexasudoku_ag,10,1.0,none,0,True,0.18473291397094727,0.8428857326507568
hexasudoku_ag,11,1.0,none,0,True,0.4055001735687256,0.7106838226318359
hexasudoku_ag,12,0.99609375,none,0,False,0.17157888412475586,0.36360597610473633
hexasudoku_ag,13,1.0,none,0,True,0.18436384201049805,0.6613180637359619
hexasudoku_ag,14,1.0,none,0,True,0.18194365501403809,0.4241478443145752
hexasudoku_ag,15,0.99609375,single,1,True,0.1941230297088623,22.741641998291016
hexasudoku_ag,16,1.0,none,0,True,0.18848824501037598,0.7658500671386719
hexasudoku_ag,17,1.0,none,0,True,0.19202303886413574,0.4816310405731201
hexasudoku_ag,18,1.0,none,0,True,0.1666731834411621,0.40771985054016113
hexasudoku_ag,19,1.0,none,0,True,0.16557526588439941,0.8880016803741455
hexasudoku_ag,20,1.0,none,0,True,0.16651606559753418,0.7528448104858398
hexasudoku_ag,21,0.9921875,uncorrectable,0,False,0.2086620330810547,0.8674321174621582
hexasudoku_ag,22,1.0,none,0,True,0.3323819637298584,0.6019768714904785
hexasudoku_ag,23,1.0,none,0,True,0.1747269630432129,0.3385961055755615
hexasudoku_ag,24,1.0,none,0,True,0.1723010540008545,0.39334607124328613
hexasudoku_ag,25,1.0,none,0,True,0.2914450168609619,0.4122340679168701
hexasudoku_ag,26,1.0,none,0,True,0.17189502716064453,0.53509521484375
hexasudoku_ag,27,1.0,none,0,True,0.16420197486877441,0.5441763401031494
hexasudoku_ag,28,1.0,none,0,True,0.24112796783447266,0.5091919898986816
hexasudoku_ag,29,1.0,none,0,True,0.17096185684204102,1.1260032653808594
hexasudoku_ag,30,1.0,none,0,True,0.18021702766418457,0.4592447280883789
hexasudoku_ag,31,0.99609375,uncorrectable,0,False,0.22205591201782227,0.6617288589477539
hexasudoku_ag,32,1.0,none,0,True,0.16327309608459473,0.8098108768463135
hexasudoku_ag,33,1.0,none,0,True,0.1652059555053711,0.7837340831756592
hexasudoku_ag,34,1.0,none,0,True,0.17137885093688965,0.23759222030639648
hexasudoku_ag,35,1.0,none,0,True,0.21190404891967773,0.29846811294555664
hexasudoku_ag,36,1.0,none,0,True,0.16066884994506836,1.1922268867492676
hexasudoku_ag,37,1.0,none,0,True,0.17874503135681152,0.8260478973388672
hexasudoku_ag,38,1.0,none,0,True,0.16579103469848633,0.7339200973510742
hexasudoku_ag,39,1.0,none,0,True,0.17293071746826172,0.9565980434417725
hexasudoku_ag,40,1.0,none,0,True,0.19457602500915527,0.7179098129272461
hexasudoku_ag,41,1.0,none,0,True,0.1682422161102295,0.5780830383300781
hexasudoku_ag,42,1.0,none,0,True,0.19679713249206543,0.6966657638549805
hexasudoku_ag,43,1.0,none,0,True,0.1628580093383789,0.36835813522338867
hexasudoku_ag,44,1.0,none,0,True,0.18767809867858887,0.5629920959472656
hexasudoku_ag,45,1.0,none,0,True,0.20056605339050293,1.216094970703125
hexasudoku_ag,46,1.0,none,0,True,0.16601085662841797,0.38830995559692383
hexasudoku_ag,47,1.0,none,0,True,0.18971490859985352,1.763913869857788
hexasudoku_ag,48,1.0,none,0,True,0.32848095893859863,0.660754919052124
hexasudoku_ag,49,1.0,none,0,True,0.2313389778137207,0.8197886943817139
hexasudoku_ag,50,1.0,none,0,True,0.1865830421447754,0.6789190769195557
hexasudoku_ag,51,0.99609375,single,1,True,0.16549921035766602,0.8866720199584961
hexasudoku_ag,52,0.99609375,single,1,True,0.1599729061126709,0.9819231033325195
hexasudoku_ag,53,1.0,none,0,True,0.16533827781677246,0.8635721206665039
hexasudoku_ag,54,1.0,none,0,True,0.15946102142333984,0.7738659381866455
hexasudoku_ag,55,1.0,none,0,True,0.18892288208007812,0.8669681549072266
hexasudoku_ag,56,1.0,none,0,True,0.17499589920043945,0.3674337863922119
hexasudoku_ag,57,1.0,none,0,True,0.18761491775512695,0.7142589092254639
hexasudoku_ag,58,1.0,none,0,True,0.16561532020568848,0.856665849685669
hexasudoku_ag,59,0.99609375,single,1,True,0.1785280704498291,1.5084130764007568
hexasudoku_ag,60,1.0,none,0,True,0.16811394691467285,1.235295057296753
hexasudoku_ag,61,1.0,none,0,True,0.189162015914917,1.0358891487121582
hexasudoku_ag,62,1.0,none,0,True,0.15686893463134766,1.1420128345489502
hexasudoku_ag,63,1.0,none,0,True,0.16766881942749023,0.606126070022583
hexasudoku_ag,64,0.99609375,single,1,True,0.17874479293823242,1.1157820224761963
hexasudoku_ag,65,1.0,none,0,True,0.1671743392944336,0.4094274044036865
hexasudoku_ag,66,0.99609375,single,1,True,0.20476388931274414,1.557267189025879
hexasudoku_ag,67,1.0,none,0,True,0.1684567928314209,0.4923560619354248
hexasudoku_ag,68,1.0,none,0,True,0.16242098808288574,0.9030768871307373
hexasudoku_ag,69,1.0,none,0,True,0.18143296241760254,0.38696885108947754
hexasudoku_ag,70,1.0,none,0,True,0.2455458641052246,1.2499949932098389
hexasudoku_ag,71,0.99609375,uncorrectable,0,False,0.1660919189453125,1.4129269123077393
hexasudoku_ag,72,1.0,none,0,True,0.16557025909423828,1.05544114112854
hexasudoku_ag,73,1.0,none,0,True,0.1610250473022461,0.5482177734375
hexasudoku_ag,74,1.0,none,0,True,0.2148761749267578,0.8273427486419678
hexasudoku_ag,75,1.0,none,0,True,0.18551015853881836,0.7087287902832031
hexasudoku_ag,76,1.0,none,0,True,0.16362214088439941,0.9319310188293457
hexasudoku_ag,77,1.0,none,0,True,0.17184090614318848,0.5698468685150146
hexasudoku_ag,78,1.0,none,0,True,0.16338396072387695,1.2490811347961426
hexasudoku_ag,79,1.0,none,0,True,0.17810392379760742,0.768592119216919
hexasudoku_ag,80,0.99609375,single,1,True,0.24308395385742188,5.997112989425659
hexasudoku_ag,81,0.99609375,none,0,False,0.1714770793914795,1.4009530544281006
hexasudoku_ag,82,1.0,none,0,True,0.18976187705993652,0.48722100257873535
hexasudoku_ag,83,1.0,none,0,True,0.21053600311279297,0.5161559581756592
hexasudoku_ag,84,0.9921875,single,1,False,0.16693711280822754,1.351921796798706
hexasudoku_ag,85,1.0,none,0,True,0.20523595809936523,0.8855690956115723
hexasudoku_ag,86,0.99609375,single,1,True,0.18921589851379395,2.502108335494995
hexasudoku_ag,87,1.0,none,0,True,0.18534493446350098,0.6022450923919678
hexasudoku_ag,88,1.0,none,0,True,0.1759040355682373,0.8259623050689697
hexasudoku_ag,89,0.99609375,single,1,True,0.25722527503967285,0.7071342468261719
hexasudoku_ag,90,1.0,none,0,True,0.16882109642028809,0.8123600482940674
hexasudoku_ag,91,0.99609375,single,1,False,0.24864625930786133,20.07547903060913
hexasudoku_ag,92,1.0,none,0,True,0.18081092834472656,0.5557799339294434
hexasudoku_ag,93,0.99609375,double,2,False,0.15914201736450195,336.37353897094727
hexasudoku_ag,94,1.0,none,0,True,0.1652050018310547,0.39731907844543457
hexasudoku_ag,95,0.99609375,single,1,True,0.1440870761871338,0.6068639755249023
