puzzle_id,size,size_detected,size_correct,num_cages_expected,num_cages_detected,solved,solve_time_ms
22,6,6,True,14,14,False,234.8189353942871
23,6,6,True,14,14,False,213.69218826293945
24,6,6,True,14,14,False,217.32687950134277
25,6,6,True,13,13,False,232.5739860534668
26,6,6,True,15,15,False,217.07391738891602
27,6,6,True,12,12,False,217.24629402160645
28,6,6,True,14,14,False,218.2600498199463
29,6,6,True,13,13,False,214.47300910949707
30,6,6,True,16,16,False,215.10815620422363
31,6,6,True,15,15,False,221.16589546203613
32,6,6,True,14,14,False,225.00300407409668
33,6,6,True,16,16,False,219.18058395385742
34,6,6,True,12,12,False,219.58088874816895
35,6,6,True,13,13,False,211.7481231689453
36,6,6,True,14,14,False,210.9837532043457
37,6,6,True,15,15,False,216.31598472595215
38,6,6,True,12,12,False,218.23620796203613
39,6,6,True,15,15,False,220.28684616088867
40,6,6,True,12,12,False,218.3058261871338
41,6,6,True,13,13,False,228.2421588897705
42,6,6,True,13,13,False,229.80189323425293
43,6,6,True,14,14,False,215.3773307800293
44,6,6,True,14,14,False,216.33386611938477
45,6,6,True,12,12,False,219.94686126708984
46,6,6,True,13,13,False,212.83507347106934
47,6,6,True,13,13,False,221.37713432312012
48,6,6,True,13,13,False,218.123197555542
49,6,6,True,13,13,False,216.35985374450684
50,6,6,True,12,12,False,218.02902221679688
51,6,6,True,11,11,False,213.97113800048828
52,6,6,True,13,13,False,218.1260585784912
53,6,6,True,14,14,False,216.15314483642578
54,6,6,True,13,13,False,220.41821479797363
55,6,6,True,14,14,False,219.18487548828125
56,6,6,True,15,15,False,212.57901191711426
57,6,6,True,14,14,False,381.21795654296875
58,6,6,True,12,12,False,217.13876724243164
59,6,6,True,14,14,False,214.90883827209473
60,6,6,True,12,12,False,219.04397010803223
61,6,6,True,13,13,False,218.78886222839355
62,6,6,True,12,12,False,224.53713417053223
63,6,6,True,13,13,False,214.34903144836426
64,6,6,True,12,12,False,212.99195289611816
65,6,6,True,13,13,False,213.29188346862793
66,6,6,True,13,13,False,222.21994400024414
67,6,6,True,12,12,False,220.6289768218994
68,6,6,True,14,14,False,229.36081886291504
69,6,6,True,14,14,False,228.0898094177246
70,6,6,True,13,13,False,223.88005256652832
71,6,6,True,13,13,False,216.49622917175293
72,6,6,True,14,14,False,223.9539623260498
73,6,6,True,13,13,False,214.7679328918457
74,6,6,True,14,14,False,214.4491672515869
75,6,6,True,12,12,False,212.27121353149414
76,6,6,True,12,12,False,291.49699211120605
